Time(s);Average Density;Relative Energy;Maximal Velocity
0.195000;1.000217;138.750000;3.726621
0.196000;1.000210;139.000000;3.729761
0.197000;1.000197;137.500000;3.732952
0.198000;1.000241;139.500000;3.736170
0.199000;1.000199;139.500000;3.741222
0.200000;1.000202;139.250000;3.749727
0.201000;1.000195;139.750000;3.760052
0.202000;1.000181;141.500000;3.769797
0.203000;1.000177;140.250000;3.776992
0.204000;1.000173;140.750000;3.780823
0.205000;1.000187;140.250000;3.823700
0.206000;1.000196;139.750000;3.928311
0.207000;1.000178;138.500000;4.027983
0.208000;1.000228;137.500000;4.064405
0.209000;1.000280;137.250000;4.072144
0.210000;1.000251;137.500000;4.083252
0.211000;1.000296;136.500000;4.095227
0.212000;1.000286;137.000000;4.105189
0.213000;1.000265;137.250000;4.111370
0.214000;1.000320;138.750000;4.114371
0.215000;1.000381;140.000000;4.117392
0.216000;1.000297;141.250000;4.120444
0.217000;1.000227;141.250000;4.124519
0.218000;1.000234;141.250000;4.130518
0.219000;1.000272;140.000000;4.137802
0.220000;1.000293;139.750000;4.145516
0.221000;1.000289;140.000000;4.152731
0.222000;1.000235;140.500000;4.158803
0.223000;1.000173;140.250000;4.163409
0.224000;1.000158;140.750000;4.167296
0.225000;1.000179;140.000000;4.172171
0.226000;1.000228;138.250000;4.179659
0.227000;1.000262;135.750000;4.190217
0.228000;1.000275;135.750000;4.202531
0.229000;1.000262;136.250000;4.213917
0.230000;1.000272;134.500000;4.222385
0.231000;1.000290;130.750000;4.227719
0.232000;1.000323;130.500000;4.231400
0.233000;1.000332;134.500000;4.235090
0.234000;1.000313;136.750000;4.246761
0.235000;1.000323;138.750000;4.271172
0.236000;1.000324;137.750000;4.302885
0.237000;1.000377;137.250000;4.335353
0.238000;1.000340;137.750000;4.363240
0.239000;1.000304;136.500000;4.384030
0.240000;1.000309;137.250000;4.398694
0.241000;1.000322;137.000000;4.466105
0.242000;1.000331;138.000000;4.602713
0.243000;1.000276;137.500000;4.659169
0.244000;1.000345;132.250000;4.523112
0.245000;1.000414;132.500000;5.231082
0.246000;1.000425;134.750000;5.887900
0.247000;1.000369;137.000000;5.861660
0.248000;1.000380;135.750000;5.835722
0.249000;1.000326;137.250000;5.810081
0.250000;1.000256;135.250000;5.784734
0.251000;1.000337;130.500000;5.759682
0.252000;1.000416;132.750000;5.734925
0.253000;1.000378;136.500000;5.710461
0.254000;1.000337;138.750000;5.686287
0.255000;1.000433;136.000000;5.662400
0.256000;1.000422;133.250000;5.638797
0.257000;1.000418;134.000000;5.616504
0.258000;1.000401;132.000000;5.595615
0.259000;1.000464;129.750000;5.575410
0.260000;1.000512;130.750000;5.555099
0.261000;1.000411;136.250000;5.534043
0.262000;1.000362;137.500000;5.512220
0.263000;1.000366;136.250000;5.490660
0.264000;1.000352;133.250000;5.469357
0.265000;1.000354;131.000000;5.448306
0.266000;1.000400;128.000000;5.427990
0.267000;1.000423;128.500000;5.408538
0.268000;1.000401;130.250000;5.389756
0.269000;1.000401;131.500000;5.371264
0.270000;1.000386;131.750000;5.353301
0.271000;1.000390;131.250000;5.336297
0.272000;1.000407;131.750000;5.319955
0.273000;1.000374;132.000000;5.303004
0.274000;1.000403;133.500000;5.284596
0.275000;1.000389;130.750000;5.266140
0.276000;1.000363;131.500000;5.247908
0.277000;1.000365;131.000000;5.233557
0.278000;1.000373;130.000000;5.224263
0.279000;1.000350;131.250000;5.216933
0.280000;1.000358;133.000000;5.205692
0.281000;1.000371;135.000000;5.188781
0.282000;1.000320;134.500000;5.172075
0.283000;1.000356;134.000000;5.199567
0.284000;1.000360;136.000000;5.216024
0.285000;1.000315;132.750000;5.218451
0.286000;1.000348;127.000000;5.218731
0.287000;1.000376;125.000000;5.219043
0.288000;1.000403;122.500000;5.254996
0.289000;1.000426;125.250000;5.488650
0.290000;1.000401;126.250000;5.725173
0.291000;1.000369;126.750000;5.886734
0.292000;1.000411;128.500000;5.914569
0.293000;1.000412;125.250000;6.100477
0.294000;1.000371;125.250000;6.168276
0.295000;1.000378;126.500000;6.166182
0.296000;1.000375;126.750000;6.164129
0.297000;1.000385;129.250000;6.162118
0.298000;1.000398;128.250000;6.160160
0.299000;1.000425;128.500000;6.158263
0.300000;1.000469;128.750000;6.156429
0.301000;1.000518;131.000000;6.154649
0.302000;1.000505;132.500000;6.152910
0.303000;1.000548;128.250000;6.151212
0.304000;1.000574;128.000000;6.149555
0.305000;1.000562;132.500000;6.147941
0.306000;1.000558;133.750000;6.146366
0.307000;1.000524;131.750000;6.144832
0.308000;1.000600;130.250000;6.143339
0.309000;1.000565;130.750000;6.141887
0.310000;1.000587;134.000000;6.140475
0.311000;1.000615;144.250000;6.139104
0.312000;1.000601;144.750000;6.137774
0.313000;1.000602;143.250000;6.137573
0.314000;1.000619;146.250000;6.144112
0.314999;1.000587;148.750000;6.153178
0.315999;1.000544;151.250000;6.159322
0.316999;1.000528;151.250000;6.158855
0.317999;1.000520;147.750000;6.158401
0.318999;1.000559;143.750000;6.157977
0.319999;1.000542;141.750000;6.157583
0.320999;1.000528;142.500000;6.157219
0.321999;1.000492;144.000000;6.156885
0.322999;1.000482;142.000000;6.156580
0.323999;1.000515;138.250000;6.156306
0.324999;1.000488;136.500000;6.156062
0.325999;1.000490;144.000000;6.155884
0.326999;1.000492;143.500000;6.155840
0.327999;1.000480;143.250000;6.155962
0.328999;1.000542;140.750000;6.156260
0.329999;1.000544;142.000000;6.156792
0.330999;1.000548;147.000000;6.157561
0.331999;1.000493;149.500000;6.158513
0.332999;1.000470;151.750000;6.159621
0.333999;1.000456;150.250000;6.160899
0.334999;1.000494;149.250000;6.162359
0.335999;1.000492;149.250000;6.163944
0.336999;1.000508;147.750000;6.165576
0.337999;1.000479;149.000000;6.167268
0.338999;1.000383;151.000000;6.169032
0.339999;1.000398;147.500000;6.170852
0.340999;1.000474;144.500000;6.172716
0.341999;1.000446;142.500000;6.174629
0.342999;1.000469;141.000000;6.177547
0.343999;1.000462;140.500000;6.344793
0.344999;1.000525;136.750000;6.497495
0.345999;1.000509;140.750000;6.576064
0.346999;1.000457;140.250000;6.572374
0.347999;1.000529;140.750000;6.569002
0.348999;1.000472;144.000000;6.565941
0.349999;1.000418;146.000000;6.563081
0.350999;1.000425;144.500000;6.560269
0.351999;1.000396;143.250000;6.557504
0.352999;1.000452;142.500000;6.554818
0.353999;1.000478;143.750000;6.575029
0.354999;1.000448;148.000000;6.652897
0.355999;1.000393;149.000000;6.764672
0.356999;1.000393;147.750000;6.850364
0.357999;1.000422;142.750000;6.852168
0.358999;1.000478;144.000000;6.850729
0.359999;1.000456;143.750000;6.849321
0.360999;1.000443;143.000000;6.847946
0.361999;1.000421;141.750000;6.846632
0.362999;1.000370;142.750000;6.845387
0.363999;1.000370;142.250000;6.844203
0.364999;1.000380;140.000000;6.843056
0.365999;1.000399;136.500000;6.841935
0.366999;1.000506;133.000000;6.840840
0.367999;1.000562;133.000000;6.839770
0.368999;1.000490;134.500000;6.838726
0.369999;1.000398;136.500000;6.837707
0.370999;1.000415;135.500000;6.836713
0.371999;1.000382;136.750000;6.835743
0.372999;1.000368;137.000000;6.834799
0.373999;1.000433;134.000000;6.833878
0.374999;1.000412;133.500000;6.832981
0.375999;1.000429;134.500000;6.832108
0.376999;1.000347;135.250000;6.831260
0.377999;1.000373;133.000000;6.830434
0.378999;1.000450;130.250000;6.794721
0.379999;1.000498;126.500000;6.751438
0.380999;1.000565;123.000000;6.753507
0.381999;1.000567;126.250000;6.799514
0.382999;1.000465;131.750000;6.834599
0.383999;1.000469;130.250000;6.808122
0.384999;1.000504;129.750000;6.732591
0.385999;1.000549;133.000000;6.837421
0.386999;1.000540;135.000000;7.142976
0.387999;1.000426;140.500000;7.329137
0.388999;1.000398;139.000000;7.319726
0.389999;1.000369;139.750000;7.303650
0.390999;1.000466;136.500000;7.535985
0.391998;1.000414;134.000000;7.729941
0.392998;1.000408;133.750000;7.937463
0.393998;1.000360;134.500000;8.057785
0.394998;1.000379;134.250000;8.052694
0.395998;1.000423;129.750000;8.047667
0.396998;1.000440;126.750000;8.042702
0.397998;1.000512;128.000000;8.037801
0.398998;1.000483;129.250000;8.032990
0.399998;1.000467;128.000000;8.049317
0.400998;1.000479;129.250000;8.080190
0.401998;1.000582;130.000000;8.107644
0.402998;1.000425;130.500000;8.116559
0.403998;1.000437;128.500000;8.113073
0.404998;1.000417;130.250000;8.109629
0.405998;1.000370;129.750000;8.106225
0.406998;1.000394;128.500000;8.102861
0.407998;1.000433;126.750000;8.099537
0.408998;1.000437;127.000000;8.096251
0.409998;1.000372;125.500000;8.093006
0.410998;1.000351;124.500000;8.089800
0.411998;1.000352;123.500000;8.086632
0.412998;1.000373;120.750000;8.083503
0.413998;1.000471;120.500000;8.080415
0.414998;1.000467;123.000000;8.077382
0.415998;1.000345;123.000000;8.074409
0.416998;1.000272;123.500000;8.071486
0.417998;1.000302;121.500000;8.068603
0.418998;1.000347;120.500000;8.065757
0.419998;1.000356;119.750000;8.062949
0.420998;1.000409;119.250000;8.060178
0.421998;1.000423;117.250000;8.057467
0.422998;1.000419;117.750000;8.054838
0.423998;1.000330;118.000000;8.052317
0.424998;1.000299;117.250000;8.049899
0.425998;1.000367;117.250000;8.047564
0.426998;1.000458;117.500000;8.045294
0.427998;1.000377;117.500000;8.043064
0.428998;1.000298;116.250000;8.040871
0.429998;1.000319;116.250000;8.038712
0.430998;1.000244;117.000000;8.036588
0.431998;1.000325;113.250000;8.034498
0.432998;1.000395;111.500000;8.032593
0.433998;1.000376;113.000000;8.031099
